"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"683","A","crisped","shape",,"Having closely and irregularly spaced, irregularly shaped, often compound convexities that curve irregularly through three dimensions.","shape",
"684","N","crista","structure",,"A laterally elongate, relatively thin, irregular or notched, apical protrusion.","STRUCTURE",
"685","N","cristae","structure",,"A laterally elongate, relatively thin, irregular or notched, apical protrusion.","STRUCTURE",
"686","A","cristate","shape",,"Having a laterally elongate, relatively thin, irregular or notched protrusion.","shape",
"687","A","cross-fertilizing","reproduction","taxon","Having fertilization regularly involving gametes derived from different plants.","reproduction",
"688","A","cross-shaped","architecture","corolla, perianth","Having four petals or tepals disposed in pairs of opposite members, the whole resembling a cross when viewed from above.","architecture",
"689","A","cross-shaped","shape",,"Having two elongate, basically straight portions intersecting at a point interior to the ends of each.","shape",
"690","N","cross-vein","structure",,"A relatively short, secondary or higher-order vein that runs directly between two veins of the next lower order, intersecting them more or less perpendicularly.","STRUCTURE",
"691","A","crowded","architecture",,"Having equivalent constituent parts disposed very near to one another.","architecture",
"692","A","crown-shaped","shape",,"Shortly and broadly tubular overall, circumferentially continuous at the base, distally so or not; like a monarch's crown.","shape",
"693","N","crozier","structure",,"A circinate leaf (frond) prior to full expansion, while still wholly or distally coiled; esp. in Polypodiophyta.","STRUCTURE",
"694","A","cruciate","architecture","corolla, perianth","Having four petals or tepals disposed in pairs of opposite members, the whole resembling a cross when viewed from above.","architecture",
"695","A","cruciate","shape",,"Having two elongate, basically straight portions intersecting at a point interior to the ends of each.","shape",
"696","A","cruciferous","architecture","stomate","Having three subsidiary cells, one distinctly smaller than the others.","architecture",
"697","A","crumbling","texture",,"Easily disintegrating in relatively small pieces, either spontaneously or under pressure.","texture",
"698","A","crumpled","aestivation",,"Having members tightly and irregularly folded, the whole appearing as though wadded upon emergence.","aestivation",
"699","A","crustaceous","texture",,"Thin, dry, hard, and brittle.","texture",
"700","A","crusty","texture",,"Thin, dry, hard, and brittle.","texture",
"701","A","cryptic","coloration",,"Similar to its natural background, from which it is not readily distinguished.","coloration",
"702","A","cryptocotyloid","germination","seed","Having the cotyledon(s) remaining inside the seed coat.","germination",
"703","A","cuboid","shape",,"Generally but not strictly cubic; more or less equilaterally six-sided, each side basically square.","shape",
"704","A","cucullate","architecture",,"Bearing, incorporating, or surmounted by a hood-shaped structure.","architecture",
"705","A","cucullate","shape",,"Convex or compressed-convex overall with a distal peak or ridge, relatively thin-walled and essentially hollow with the interior open to one side below the distal portion; resembling a hood or cowl.  See also galeate (galeiform, helmet-shaped), which over","shape",
"706","A","cuculliform","shape",,"Convex or compressed-convex overall with a distal peak or ridge, relatively thin-walled and essentially hollow with the interior open to one side below the distal portion; resembling a hood or cowl.  See also galeiform (galeate, helmet-shaped), which over","shape",
"707","N","cucullus","structure",,"A cucullate (cuculliform) structure or component, esp. in an inflorescence or flower.","STRUCTURE",
"708","N","cuculli","structure",,"A cucullate (cuculliform) structure or component, esp. in an inflorescence or flower.","STRUCTURE",
"709","N","culm","structure",,"A stem of a sedge (Cyperaceae) or grass (Poaceae), usually hollow.  Use of this term  or cane instead of stem is a matter of tradition and preference, not of descriptive precision or necessity.","STRUCTURE",
"711","A","cuneate","shape","base","Inversely triangular; like the outline of the broad lateral face of a wedge, broadest at the apex.  See also obdeltate.","shape",
"712","A","cuniculate","shape","elongate structure","Hollow over a significant part of its length, the interior open at the end of the hollow portion.","shape",
"713","A","cup-shaped","shape",,"Truncate-globose with the distal margin more or less entire; like the bowl of a cup.","shape",
"714","A","cupulate","shape",,"Truncate-globose with the distal margin more or less entire; like the bowl of a cup.","shape",
"715","N","cupule","structure",,"A cup-like structure inserted at the base of a fruit, partially enclosing it or not; composed of a persistent, usually dried, sometimes hardened involucre, perianth, or portion thereof, the constituent parts often coalescent, yielding a unitary structure.","STRUCTURE",
"716","A","curly","shape",,"Having closely and irregularly spaced, irregularly shaped, often compound convexities that curve irregularly through three dimensions.","shape",
"717","A","cushion-shaped","shape",,"Essentially round in transverse section, much broader than long or high, with a convex distal face that intersects either a more or less plane proximal face or, when the structure is sessile, its bearing surface.","shape",
"718","A","cuspidate","shape","apex","Tapering gradually to a rigid tip composed of both vascular and laminar tissues.","shape",
"719","A","cut","shape",,"Having straight to irregular lines of separation extending inward from the margin.  See also cleft (dissected, divided, lobate, lobed, parted, partite, segmented).","shape",
"720","A","cyathiate","architecture","inflorescence","Comprising one or more cyathia.","architecture",
"721","A","cyathiform","shape","perianth, calyx, corolla, pappus","Having a cupulate tube and an indistinct, erect limb.  See also cotyliform, urceolate (urn-shaped).","shape",
"722","N","cyathium","structure-infl","inflorescence","Resembling a single flower, the unbranched axis very short with a terminal pistillate flower and several lateral staminate flowers, the whole subtended and to some degree enclosed by a cupulate envelope of bracts, the flowers diminutive and presumed to be","nominative",
"723","N","cyathia","structure-infl","inflorescence","Resembling a single flower, the unbranched axis very short with a terminal pistillate flower and several lateral staminate flowers, the whole subtended and to some degree enclosed by a cupulate envelope of bracts, the flowers diminutive and presumed to be","nominative",
"724","N","cycle","structure",,"A set of three or more lateral structures that are inserted around an axis at the same level.","STRUCTURE",
"725","A","cyclic","arrangement",,"Disposed along the axis in groups of three or more, the members of each group (cycle, series, verticil, whorl) inserted around the axis at the same level.","arrangement",
"#","A","_cyclic","arrangement",,"Disposed in the number of cycles (series, verticils, whorls) indicated by the prefix; as in monocyclic, 3-cyclic.","arrangement",
